work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,covid_mean_cases
2022,SE,FT,Data Architect,63000,US,0,US,M,158462
2022,SE,FT,Data Science Manager,189500,US,100,US,L,158462
2022,SE,FT,Data Science Manager,140100,US,100,US,L,158462
2022,SE,FT,Data Engineer,177600,US,100,US,L,158462
2022,SE,FT,Data Engineer,131300,US,100,US,L,158462
2022,MI,FT,Data Engineer,24000,US,0,US,M,158462
2022,MI,FT,Data Engineer,24000,US,0,US,M,158462
2022,SE,FT,Data Engineer,250000,US,0,US,M,158462
2022,SE,FT,Data Engineer,63000,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,202900,US,100,US,L,158462
2022,SE,FT,Machine Learning Engineer,131300,US,100,US,L,158462
2022,SE,FT,Data Engineer,145000,US,100,US,M,158462
2022,SE,FT,Data Engineer,115000,US,100,US,M,158462
2022,EN,FT,Machine Learning Engineer,115000,US,50,US,L,158462
2022,MI,FT,Machine Learning Engineer,193900,US,0,US,M,158462
2022,MI,FT,Machine Learning Engineer,129300,US,0,US,M,158462
2022,SE,FT,Data Scientist,180000,US,100,US,L,158462
2022,SE,FT,Data Scientist,140000,US,100,US,L,158462
2022,MI,FT,Data Analyst,216200,US,0,US,M,158462
2022,MI,FT,Data Analyst,144100,US,0,US,M,158462
2022,SE,FT,Machine Learning Scientist,216000,US,0,US,M,158462
2022,SE,FT,Machine Learning Scientist,144000,US,0,US,M,158462
2022,EN,FT,Data Analyst,150000,US,100,US,L,158462
2021,EN,FT,Machine Learning Research Engineer,12171,IN,100,IN,M,67352
2022,MI,FT,Data Scientist,54547,IN,100,ID,L,8787
2022,EN,FT,Applied Data Scientist,50000,AT,50,AT,M,15623
2021,SE,FT,Cloud Data Architect,250000,US,50,US,L,91462
2022,EX,FT,Research Scientist,85939,NL,0,NL,L,22525
2022,MI,FT,Data Scientist,136258,GB,100,GB,M,41353
2022,SE,FT,Analytics Engineer,48000,AR,100,US,S,158462
2022,EX,FT,Data Science Manager,260500,US,0,US,M,158462
2022,EX,FT,Data Science Manager,175100,US,0,US,M,158462
2022,SE,FT,Data Engineer,210000,US,100,US,M,158462
2022,SE,FT,Data Engineer,100000,US,100,US,M,158462
2022,EN,FT,Data Analyst,55000,US,100,US,S,158462
2022,MI,FT,Data Analyst,130000,US,100,US,M,158462
2022,SE,FT,Applied Machine Learning Scientist,78849,FR,100,GB,L,41353
2022,EN,FT,Data Scientist,53175,BE,50,BE,S,10024
2022,MI,FL,Applied Machine Learning Scientist,31170,IN,100,IN,S,40775
2022,SE,FT,Data Engineer,206699,US,0,US,M,158462
2022,SE,FT,Data Engineer,99100,US,0,US,M,158462
2022,MI,FT,Analytics Engineer,200000,US,0,US,M,158462
2022,MI,FT,Analytics Engineer,54000,US,0,US,M,158462
2022,SE,FT,Data Engineer,250000,US,0,US,M,158462
2022,SE,FT,Data Engineer,63000,US,0,US,M,158462
2022,SE,FT,Data Architect,250000,US,0,US,M,158462
2022,SE,FT,Data Architect,63000,US,0,US,M,158462
2022,SE,FT,Data Engineer,250000,US,0,US,M,158462
2022,SE,FT,Data Engineer,63000,US,0,US,M,158462
2022,EN,FT,Analytics Engineer,130000,US,50,US,L,158462
2022,SE,FT,Data Engineer,100000,US,0,US,L,158462
2022,SE,FT,Data Engineer,80000,US,0,US,L,158462
2022,SE,FT,Data Scientist,160000,US,0,US,L,158462
2022,SE,FT,Data Scientist,100000,US,0,US,L,158462
2022,SE,FT,Data Specialist,221300,US,100,US,L,158462
2022,SE,FT,Data Specialist,148700,US,100,US,L,158462
2022,EN,FT,Machine Learning Engineer,30000,GB,100,GB,L,41353
2022,EN,FT,Data Analyst,29004,FR,50,FR,M,104238
2022,MI,FT,Data Engineer,94234,GB,0,GB,M,41353
2022,MI,FT,Data Engineer,63672,GB,0,GB,M,41353
2022,MI,FT,Data Scientist,62306,DE,100,DE,S,106028
2022,SE,FT,Data Science Manager,249260,US,0,US,M,158462
2022,SE,FT,Data Science Manager,185400,US,0,US,M,158462
2022,SE,FT,Data Engineer,170000,US,100,US,M,158462
2022,SE,FT,Data Engineer,130000,US,100,US,M,158462
2022,MI,FT,Data Scientist,82773,GB,50,GB,M,41353
2022,EX,FT,3D Computer Vision Researcher,800000,PM,0,CU,M,618
2022,SE,FT,Data Analyst,128875,US,100,US,M,158462
2022,SE,FT,Data Analyst,93700,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,180000,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,100000,US,100,US,M,158462
2022,SE,FT,Data Analyst,136260,US,100,US,M,158462
2022,SE,FT,Data Analyst,109280,US,100,US,M,158462
2022,SE,FT,Data Scientist,160000,US,100,US,L,158462
2022,SE,FT,Data Scientist,92000,US,100,US,L,158462
2022,SE,FT,Data Engineer,200000,US,100,US,M,158462
2022,SE,FT,Data Engineer,160000,US,100,US,M,158462
2022,MI,FT,Data Engineer,140078,GB,0,GB,M,41353
2022,MI,FT,Data Engineer,108242,GB,0,GB,M,41353
2022,SE,FT,Data Analyst,117000,US,100,US,M,158462
2022,SE,FT,Data Analyst,99450,US,100,US,M,158462
2022,EN,FT,AI Scientist,3117,IN,0,IN,S,40775
2022,EN,FT,Data Engineer,129000,US,100,US,L,158462
2022,EN,FT,Data Engineer,86000,US,100,US,L,158462
2020,EN,FT,Data Engineer,13493,IN,100,IN,L,28158
2020,EN,FT,Data Engineer,13493,IN,100,IN,L,28158
2022,SE,FT,Data Scientist,160000,US,0,US,L,158462
2022,SE,FT,Data Scientist,119300,US,0,US,L,158462
2022,SE,FT,Business Data Analyst,100000,US,100,US,L,158462
2022,MI,FT,Data Scientist,25000,TR,50,TR,M,30855
2022,MI,FT,Data Analyst,65663,SG,50,SG,M,6625
2022,MI,FT,AI Scientist,200000,US,100,US,M,158462
2022,EN,FT,Machine Learning Developer,180000,US,100,US,L,158462
2022,MI,FT,Data Scientist,153000,US,100,US,L,158462
2022,SE,FT,Data Engineer,210000,US,100,US,M,158462
2022,SE,FT,Data Engineer,100000,US,100,US,M,158462
2022,SE,FT,Data Analyst,150075,US,100,US,M,158462
2022,SE,FT,Data Analyst,110925,US,100,US,M,158462
2022,MI,FT,Machine Learning Scientist,22800,EG,100,EG,M,556
2022,SE,FT,Data Scientist,160000,US,100,US,L,158462
2022,SE,FT,Data Scientist,92000,US,100,US,L,158462
2022,SE,FT,Machine Learning Engineer,202900,US,100,US,L,158462
2022,SE,FT,Machine Learning Engineer,131300,US,100,US,L,158462
2020,EN,FT,Data Analyst,22809,PT,100,PT,M,1092
2022,EN,FT,Data Analyst,15000,ID,0,ID,L,8787
2022,SE,FT,Data Engineer,175000,US,100,US,M,158462
2022,SE,FT,Data Engineer,135000,US,100,US,M,158462
2022,SE,FT,Data Science Manager,137456,AU,100,AU,L,40902
2022,EN,FT,Machine Learning Engineer,83000,US,0,US,L,158462
2022,MI,FT,Data Engineer,95508,GB,100,GB,M,41353
2022,MI,FT,Data Engineer,70039,GB,100,GB,M,41353
2022,SE,FT,Data Scientist,186000,US,0,US,M,158462
2022,SE,FT,Data Scientist,148800,US,0,US,M,158462
2022,SE,FT,Data Analyst,112900,US,0,US,M,158462
2022,SE,FT,Data Analyst,90320,US,0,US,M,158462
2022,SE,FT,ML Engineer,240000,US,0,US,M,158462
2022,SE,FT,ML Engineer,160000,US,0,US,M,158462
2022,SE,FT,Data Science Manager,300000,US,100,US,M,158462
2022,SE,FT,Data Science Manager,200000,US,100,US,M,158462
2022,MI,FT,Data Engineer,67140,DE,50,DE,S,106028
2022,MI,FT,AI Scientist,200000,IN,100,US,L,158462
2022,MI,FT,Machine Learning Engineer,120977,GB,0,GB,M,41353
2022,MI,FT,Machine Learning Engineer,95508,GB,0,GB,M,41353
2022,MI,FT,AI Scientist,120000,US,0,US,M,158462
2022,SE,FT,Data Analyst,112900,US,100,US,M,158462
2022,SE,FT,Data Analyst,90320,US,100,US,M,158462
2022,SE,FT,Data Analytics Manager,145000,US,100,US,M,158462
2022,SE,FT,Data Analytics Manager,105400,US,100,US,M,158462
2020,EN,FT,Data Scientist,49268,DE,0,DE,S,4822
2022,MI,FT,Data Engineer,114609,GB,0,GB,M,41353
2022,MI,FT,Data Engineer,95508,GB,0,GB,M,41353
2022,SE,FT,Data Scientist,215300,US,100,US,L,158462
2022,SE,FT,Data Scientist,158200,US,100,US,L,158462
2022,SE,FT,Data Engineer,209100,US,100,US,L,158462
2022,SE,FT,Data Engineer,154600,US,100,US,L,158462
2022,SE,FT,Data Analyst,115934,US,0,US,M,158462
2022,SE,FT,Data Analyst,81666,US,0,US,M,158462
2022,SE,FT,Data Engineer,175000,US,100,US,M,158462
2022,SE,FT,Data Engineer,155000,US,100,US,M,158462
2022,MI,FT,Machine Learning Engineer,85939,FR,100,DE,M,106028
2022,SE,FT,Data Analyst,164000,US,0,US,M,158462
2022,SE,FT,Data Analyst,132000,US,0,US,M,158462
2022,SE,FT,Data Scientist,170000,US,100,US,M,158462
2022,SE,FT,Data Scientist,123000,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,189650,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,164996,US,0,US,M,158462
2022,MI,FT,ETL Developer,53712,GR,0,GR,M,14715
2022,MI,FT,ETL Developer,53712,GR,0,GR,M,14715
2022,EX,FT,Lead Data Engineer,117531,CA,100,CA,S,1457
2022,SE,FT,Data Engineer,165400,US,100,US,M,158462
2022,SE,FT,Data Engineer,132320,US,100,US,M,158462
2022,SE,FT,Data Architect,208775,US,100,US,M,158462
2022,SE,FT,Data Architect,147800,US,100,US,M,158462
2022,SE,FT,Data Engineer,136994,US,100,US,M,158462
2022,SE,FT,Data Engineer,101570,US,100,US,M,158462
2022,SE,FT,Data Analyst,128875,US,100,US,M,158462
2022,SE,FT,Data Analyst,93700,US,100,US,M,158462
2022,EX,FT,Head of Machine Learning,77925,IN,50,IN,L,40775
2022,EN,FT,Machine Learning Engineer,36293,GB,100,GB,L,41353
2022,SE,FT,Data Engineer,183600,US,100,US,L,158462
2022,SE,FT,Data Engineer,100800,US,100,US,L,158462
2022,MI,FT,Data Analyst,50937,GB,100,GB,M,41353
2022,MI,FT,Data Analyst,38203,GB,100,GB,M,41353
2022,MI,FT,Data Analyst,42969,ES,100,ES,M,28171
2022,MI,FT,Data Analyst,32227,ES,100,ES,M,28171
